,CAS,URL,Highest Development Event Status and Year,Highest Development Event Source ID,Highest Development Event Source URL,Earliest Approved Event Status and Year,Earliest Approved Event Source ID,Earliest Approved Event Source URL,conditions,phases
0,51022-69-6,https://drugs.ncats.io/drug/423W026MA9,US Approved Rx 2003,ANDA076065,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=076065,US Previously Marketed 1979,CYCLOCORT by ASTELLAS,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018116,Corticosteroid-responsive dermatoses,Approved
1,90-84-6,https://drugs.ncats.io/drug/Q94YYU22B8,US Approved Rx 2011,ANDA091680,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=091680,US Previously Marketed 1959,TEPANIL by 3M,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=011673,Unknown; Exogenous obesity; Unknown,Approved
2,300-62-9,https://drugs.ncats.io/drug/CK833KGX7E,US Approved Rx 2003,ANDA040480,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=040480,US Previously Marketed 1931,Benzedrine Inhaler,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2377281/,Attention deficit hyperactivity disorder,Approved
3,20537-88-6,https://drugs.ncats.io/drug/ILA426L95O,US Approved Rx 1995,NDA020221,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020221,US Approved Rx 1995,NDA020221,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020221,Ovarian cancer; Head and neck cancer,Approved; Approved
4,37517-28-5,https://drugs.ncats.io/drug/84319SGC3C,US Approved Rx 1993,ANDA064045,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=064045,US Previously Marketed 1976,AMIKIN by APOTHECON,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=050495,Cystic fibrosis; Sepsis; Urinary tract infections; Meningitis; Pneumonia,Phase III; Approved; Approved; Approved; Phase III
5,2609-46-3,https://drugs.ncats.io/drug/7DZO8EB0Z3,US Approved Rx 2009,ANDA079133,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=079133,US Previously Marketed 1981,MODURETIC 5-50 by MERCK,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018201,Hypertension; Heart failure,Approved; Approved
6,2097132-02-8,https://drugs.ncats.io/drug/71RR81V666,Clinical ,INN:iodine (¹³¹I) apamistamab [INN],https://ginas.ncats.nih.gov/ginas/app/substance/71RR81V666,,,,,
7,90-45-9,https://drugs.ncats.io/drug/78OY3Z0P7Z,US Previously Marketed 1934,Aminacrine,https://books.google.com/books?id=jglFsz5EJR8C&lpg=PA381&ots=DG2kaw3Z_a&dq=AMINACRINE%20first%20marketed&pg=PA381#v=onepage&q=AMINACRINE%20first%20marketed&f=false,US Previously Marketed 1934,Aminacrine,https://books.google.com/books?id=jglFsz5EJR8C&lpg=PA381&ots=DG2kaw3Z_a&dq=AMINACRINE%20first%20marketed&pg=PA381#v=onepage&q=AMINACRINE%20first%20marketed&f=false,Adult T-cell leukemia/lymphoma; Vaginal trichomoniasis; Mycoses,Basic research; Phase I; Approved
8,60-32-2,https://drugs.ncats.io/drug/U6F3787206,US Approved Rx 2021,ANDA213825,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=213825,US Previously Marketed 1964,AMICAR by EPIC PHARMA LLC,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=015229,Bleeding,Approved
9,125-84-8,https://drugs.ncats.io/drug/0O54ZQ14I9,US Previously Marketed 1960,Elipten by Ciba,DeHaen 1940-1975 NMEs,US Previously Marketed 1960,Elipten by Ciba,DeHaen 1940-1975 NMEs,Cushing’s disease,Approved
