Original Molecule,Parsed Molecule,Link,Result Type,CAS,Deprecated CAS,Compound/Substance,Depositor Synonym List,Regular Synonym List,Synonym?
1-2-PROPANEDIOL_DIACETATE,"1,2 PROPANEDIOL DIACETATE",https://pubchem.ncbi.nlm.nih.gov/compound/12198,RELEVANT,623-84-7,"134236-23-0, 1432741-27-9, 1432741-27-9, 134236-23-0",COMPOUND,YES,YES,YES
1-HEXADECANOL,1 HEXADECANOL,https://pubchem.ncbi.nlm.nih.gov/compound/2682,RELEVANT,"36653-82-4, 36311-34-9, 124-29-8","168679-13-8, 124-29-8, 55069-45-9, 8014-51-5, 8023-37-8, 8032-16-4, 8032-17-5, 8032-89-1, 1173838-87-3, 1173838-87-3, 124-29-8, 55069-45-9, 8014-51-5, 8023-37-8, 8032-16-4, 8032-17-5, 8032-89-1, 8014-51-5, 1173838-87-3, 8032-16-4, 8032-89-1, 8023-37-8, 55069-45-9, 8032-17-5, 124-29-8",COMPOUND,YES,YES,YES
1-OCTADECANOL,1 OCTADECANOL,https://pubchem.ncbi.nlm.nih.gov/compound/8221,RELEVANT,"112-92-5, 68911-61-5, 26762-44-7","193766-48-2, 8014-37-7, 8032-19-7, 8032-21-1, 8034-90-0, 8034-90-0, 8032-21-1, 8014-37-7, 193766-48-2",COMPOUND,YES,YES,YES
2-3-(2-IODOPROPYLIDENEDIOXY)PROPANOL,"2,3-(2 IODOPROPYLIDENEDIOXY)PROPANOL",No Link,Not Found,No CAS info,No CAS info,NEITHER,MISSING,MISSING,NO
2-OXOGLUTARIC_ACID,2 OXOGLUTARIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/51,FEATURED,"328-50-7, 34410-46-3, 17091-15-5",27175-99-1,COMPOUND,YES,YES,YES
2-PHENOXYETHANOL,2 PHENOXYETHANOL,https://pubchem.ncbi.nlm.nih.gov/compound/17972278,FEATURED,No CAS info,No CAS info,COMPOUND,NO,MISSING,NO
2-PROPANOL,2 PROPANOL,https://pubchem.ncbi.nlm.nih.gov/compound/3776,FEATURED,67-63-0,8013-70-5,COMPOUND,YES,YES,YES
4-AMINOBUTYRIC_ACID,4 AMINOBUTYRIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/119,FEATURED,56-12-2,3131-86-0,COMPOUND,YES,YES,YES
7-KETO_DEHYDRANDROSTERONE,7 KETO DEHYDRANDROSTERONE,No Link,Not Found,No CAS info,No CAS info,NEITHER,MISSING,MISSING,NO
7-OXO-DEHYDROEPIANDROSTERONE,7 OXO-DEHYDROEPIANDROSTERONE,https://pubchem.ncbi.nlm.nih.gov/compound/193313,RELEVANT,566-19-8,No CAS info,COMPOUND,YES,YES,YES
8-QUINOLINOL,8 QUINOLINOL,https://pubchem.ncbi.nlm.nih.gov/compound/1923,FEATURED,148-24-3,"123574-67-4, 24804-14-6, 123574-67-4",COMPOUND,YES,YES,YES
ABACAVIR,ABACAVIR,https://pubchem.ncbi.nlm.nih.gov/compound/441300,FEATURED,"136470-78-5, 188062-50-2",No CAS info,COMPOUND,YES,YES,YES
ABALOPARATIDE,ABALOPARATIDE,https://pubchem.ncbi.nlm.nih.gov/compound/Abaloparatide,FEATURED,247062-33-5,506422-98-6,COMPOUND,MISSING,YES,YES
ABARELIX,ABARELIX,https://pubchem.ncbi.nlm.nih.gov/compound/16131215,FEATURED,183552-38-7,No CAS info,COMPOUND,YES,YES,YES
ABATACEPT,ABATACEPT,https://pubchem.ncbi.nlm.nih.gov/compound/Abatacept,FEATURED,332348-12-6,213252-14-3,COMPOUND,MISSING,YES,YES
ABCIXIMAB,ABCIXIMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Abciximab,FEATURED,143653-53-6,No CAS info,COMPOUND,MISSING,YES,YES
ABEMACICLIB,ABEMACICLIB,https://pubchem.ncbi.nlm.nih.gov/compound/46220502,FEATURED,1231929-97-7,No CAS info,COMPOUND,YES,YES,YES
ABIRATERONE_ACETATE,ABIRATERONE ACETATE,https://pubchem.ncbi.nlm.nih.gov/compound/9821849,FEATURED,154229-18-2,No CAS info,COMPOUND,YES,YES,YES
ABRUS_PRECATORIUS,ABRUS PRECATORIUS,https://pubchem.ncbi.nlm.nih.gov/substance/482044096,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO
ABSORBABLE_GELATIN/COLLAGEN_SPONGE,ABSORBABLE GELATIN/COLLAGEN SPONGE,https://pubmed.ncbi.nlm.nih.gov/24377182,RELEVANT,No CAS info,No CAS info,NEITHER,MISSING,MISSING,NO
ACACIA_CATECHU,ACACIA CATECHU,https://pubchem.ncbi.nlm.nih.gov/substance/482039925,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO
ACACIA_SENEGAL,ACACIA SENEGAL,https://pubchem.ncbi.nlm.nih.gov/substance/482044117,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO
ACALABRUTINIB,ACALABRUTINIB,https://pubchem.ncbi.nlm.nih.gov/compound/71226662,FEATURED,1420477-60-6,No CAS info,COMPOUND,YES,YES,YES
ACAMPROSATE,ACAMPROSATE,https://pubchem.ncbi.nlm.nih.gov/compound/71158,FEATURED,77337-76-9,No CAS info,COMPOUND,YES,YES,YES
ACARBOSE,ACARBOSE,https://pubchem.ncbi.nlm.nih.gov/compound/41774,FEATURED,56180-94-0,No CAS info,COMPOUND,YES,YES,YES
ACEBUTOLOL,ACEBUTOLOL,https://pubchem.ncbi.nlm.nih.gov/compound/1978,FEATURED,37517-30-9,28197-63-9,COMPOUND,YES,YES,YES
ACEMANNAN,ACEMANNAN,https://pubchem.ncbi.nlm.nih.gov/compound/72041,FEATURED,110042-95-0,110865-83-3,COMPOUND,YES,YES,YES
ACEPROMAZINE,ACEPROMAZINE,https://pubchem.ncbi.nlm.nih.gov/compound/6077,FEATURED,61-00-7,No CAS info,COMPOUND,YES,YES,YES
ACESULFAME,ACESULFAME,https://pubchem.ncbi.nlm.nih.gov/compound/36573,FEATURED,33665-90-6,No CAS info,COMPOUND,YES,YES,YES
ACETAZOLAMIDE,ACETAZOLAMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/1986,FEATURED,59-66-5,"5661-25-6, 8017-69-4, 909032-78-6, 8017-69-4",COMPOUND,YES,YES,YES
ACETIC_ACID,ACETIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/176,FEATURED,"64-19-7, 68475-71-8, 546-67-8, 77671-22-8","77671-22-8, 1053656-97-5, 1173022-32-6, 1053656-97-5, 1173022-32-6, 77671-22-8, 612524-90-0, 1053656-97-5, 463-83-2",COMPOUND,YES,YES,YES
ACETOHEXAMIDE,ACETOHEXAMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/1989,FEATURED,968-81-0,8054-32-8,COMPOUND,YES,YES,YES
ACETOHYDROXAMIC_ACID,ACETOHYDROXAMIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/1990,FEATURED,546-88-3,No CAS info,COMPOUND,YES,YES,YES
ACETONE,ACETONE,https://pubchem.ncbi.nlm.nih.gov/compound/180,FEATURED,67-64-1,No CAS info,COMPOUND,YES,YES,YES
ACETONE_(KETONE)_TESTS,ACETONE (KETONE) TESTS,https://pubmed.ncbi.nlm.nih.gov/33027776,RELEVANT,No CAS info,No CAS info,NEITHER,MISSING,MISSING,NO
ACETYL-L-CARNITINE,ACETYL-L-CARNITINE,https://pubchem.ncbi.nlm.nih.gov/compound/7045767,FEATURED,3040-38-8,"461-77-8, 541-68-4, 3624-25-7, 74832-89-6",COMPOUND,YES,YES,YES
ACETYLCHOLINE,ACETYLCHOLINE,https://pubchem.ncbi.nlm.nih.gov/compound/187,FEATURED,"51-84-3, 14047-05-3",No CAS info,COMPOUND,YES,YES,YES
ACETYLCYSTEINE,ACETYLCYSTEINE,https://pubchem.ncbi.nlm.nih.gov/compound/12035,FEATURED,"616-91-1, 7218-04-4","7696-05-1, 1261105-20-7, 1261105-20-7, 7696-05-1",COMPOUND,YES,YES,YES
