CAS,URL,Highest Development Event Status and Year,Highest Development Event Source ID,Highest Development Event Source URL,Earliest Approved Event Status and Year,Earliest Approved Event Source ID,Earliest Approved Event Source URL,conditions,phases,
173740-48-2,,,,,,,,,,
108333-82-0,,,,,,,,,,
9000-11-07,,,,,,,,,,
60937-55-5,,,,,,,,,,
119914-60-2,https://drugs.ncats.io/drug/L1M1U2HC31,US Previously Marketed 1997,RAXAR by OTSUKA,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020695,US Approved Rx 1997,RAXAR by OTSUKA,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020695,"Acute bacterial exacerbations of chronic bronchitis caused by Haemophilus influenzae, Streptococcus pneumoniae, or Moraxella catarrhalis; Community-acquired pneumonia caused by Haemophilus influenzae, Streptococcus pneumoniae, Moraxella catarrhalis, or Mycoplasma pneumonia; Uncomplicated gonorrhea (urethral In males and endocervical and rectal in females) caused by Neissen'a gononrhoeae",Withdrawn; Withdrawn; Withdrawn,
126-07-8,https://drugs.ncats.io/drug/32HRV3E3D5,US Approved Rx 2005,ANDA065200,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=065200,US Approved Rx 1959,Grisactin by Ayerst,https://drugs.ncats.io/DeHaen%201940-1975%20NMEs,Dermatophyte infection,Approved,
1990-05-01,,,,,,,,,,
93-14-1,https://drugs.ncats.io/drug/495W7451VQ,US Approved OTC,21 CFR 341.18 cough/cold:expectorant guaifenesin,https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec341-18.xml,US Approved Rx 1961,BRONKODYL GLYCERYL GUAIACOLATE by PRL,https://cdn.loc.gov/service/ll/fedreg/fr037/fr037145/fr037145.pdf,"Cough, Common cold",Approved; Approved,
51-45-6,https://drugs.ncats.io/drug/820484N8I3,US Approved Allergenic Extract 1995,BLA103891,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5c20f3f4-65f8-4cdb-bdd1-5774da1c551b,US Approved Rx 1939,HISTAMINE PHOSPHATE by LILLY,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=000734,Allergenic skin; Multiple sclerosis; Gastric acid secretory,Not provided; Basic research; Approved,
71-00-1,https://drugs.ncats.io/drug/4QD397987E,US Previously Marketed,21 CFR 310.545(a)(20) weight control histidine,https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-545.xml,US Approved Rx 1971,NDA016822,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6ea7ec73-403e-4303-8862-6380e2f1fda6,Burn; Cholera; Menkes disease; Histidyl-tRNA synthetase deficiency; Rheumatoid arthritis,,Approved; Not Provided; Phase III; Phase I; Not Provided
