,CAS,URL,Highest Development Event Status and Year,Highest Development Event Source ID,Highest Development Event Source URL,Earliest Approved Event Status and Year,Earliest Approved Event Source ID,Earliest Approved Event Source URL,conditions,phases
0,623-84-7,https://drugs.ncats.io/drug/5Z492UNF9O,Possibly Marketed Outside US 1996,ANDA040166,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c0ec47b7-c13a-4fa0-91fe-d7a03c70aec9,Possibly Marketed Outside US 1996,ANDA040166,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c0ec47b7-c13a-4fa0-91fe-d7a03c70aec9,Bacillus cereus infection,Basic research
1,36653-82-4,https://drugs.ncats.io/drug/936JST6JCN,US Previously Marketed 1990,EXOSURF NEONATAL by GLAXOSMITHKLINE,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020044,Possibly Marketed Outside US 1984,"NU-DERM SUNFADER  Skin Lightener with Sunscreen (SPF 15) PABA FREE by OMP, INC.",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c67b0629-5529-412d-99ee-186df4ecad5a,"Dry, itchy skin; Respiratory distress syndrome, neonatal",Approved; Approved
2,112-92-5,https://drugs.ncats.io/drug/2KR89I4H1Y,US Previously Marketed ,"21 CFR 310.545(a)(18)(i)(B) skin protectant:w/ sales less than $25,000 stearyl alcohol",https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-545.xml,Possibly Marketed Outside US 1970,Ala Quin by Crown Laboratories,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d2ae30c6-ad64-47ed-b371-778eaebeeddf,SUNBURN,Approved
3,328-50-7,https://drugs.ncats.io/drug/8ID597Z82X,Possibly Marketed Outside US ,ALPHA-KETOGLUTARATE,http://naturaldatabase.therapeuticresearch.com/nd/PrintVersion.aspx?id=144&AspxAutoDetectCookieSupport=1 | http://www.webmd.com/vitamins-supplements/ingredientmono-144-alpha-ketoglutarate.aspx?activeingredientid=144&activeingredientname=alpha-ketoglutarate,,,,Osteoporosis; Gastrointestinal microbiota imbalance; Short bowel syndrome; Burn; Kidney failure,Not Provided; Not Provided; Not Provided; Approved; Approved
4,67-63-0,https://drugs.ncats.io/drug/ND2M416302,US Approved OTC ,21 CFR 344.12 otic:ear drying aid isopropyl alcohol,https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec344-12.xml,US Previously Marketed 1921,Rubbing Alcohol,https://books.google.com/books?id=1n4gAQAAMAAJ&newbks=1&newbks_redir=0&dq=alcohol%20rubbing%20usp&pg=PA85#v=onepage&q=alcohol%20rubbing%20usp&f=false,,
5,56-12-2,https://drugs.ncats.io/drug/2ACZ6IPC6I,Possibly Marketed Outside US ,Theracodeine-300 by Physician Therapeutics Llc,https://www.drugbank.ca/drugs/DB02530,Possibly Marketed Outside US 2009,21 CFR 352,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1725b5af-fe03-4372-beaf-d6fd9088a1f1,Type 1 diabetes mellitus; Stress; Vascular diseases of the brain; Atherosclerosis of cerebral arteries; Chronic cerebrovascular insufficiency; Partial Seizures,Phase II; Phase I; Approved; Approved; Approved; Not Provided
6,566-19-8,https://drugs.ncats.io/drug/2334LJD2E9,Possibly Marketed Outside US 2015,21 CFR 348,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6c5854bb-b51a-4583-9148-6f76c59ff24c,Possibly Marketed Outside US 2015,21 CFR 348,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6c5854bb-b51a-4583-9148-6f76c59ff24c,,
7,148-24-3,https://drugs.ncats.io/drug/5UTX5635HP,US Previously Marketed ,21 CFR 310.545(a)(18)(ii) skin protectant:astringent oxyquinoline sulfate,https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-545.xml,Possibly Marketed Outside US 1964,UDDER BALM by H. W. Naylor Company Inc.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2907f343-4457-bf36-2e0b-aa074e63a4bd,Unknown,
8,136470-78-5,https://drugs.ncats.io/drug/WR2TIP26VS,US Approved Rx 2017,ANDA204990,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=204990,US Previously Marketed 1998,ZIAGEN by VIIV HLTHCARE,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020977,HIV-1 infection,Approved
9,247062-33-5,https://drugs.ncats.io/drug/AVK0I6HY2U,US Approved Rx 2017,NDA208743,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208743,US Approved Rx 2017,NDA208743,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208743,Osteoporosis,Approved
