Original Molecule,Parsed Molecule,Best Match Link,CAS,Deprecated CAS
CERTOLIZUMAB_PEGOL,ETONOGESTREL,https://pubchem.ncbi.nlm.nih.gov/compound/6917715,137281-23-3,N/A
CETALKONIUM,ETOPOSIDE,https://pubchem.ncbi.nlm.nih.gov/compound/36462,69372-19-6,N/A
CETIRIZINE,ETOPOSIDE PHOSPHATE,https://pubchem.ncbi.nlm.nih.gov/compound/36462,2152-34-3,N/A
CETRIMIDE,ETRAVIRINE,https://pubchem.ncbi.nlm.nih.gov/compound/193962,38363-40-5,61914-98-5
CETRORELIX,ETYNODIOL,https://pubchem.ncbi.nlm.nih.gov/compound/14687,39809-25-1,N/A
CETUXIMAB,EUCALYPTUS GLOBULUS,https://pubchem.ncbi.nlm.nih.gov/substance/483925458,771431-20-0,"16414-54-3, 937590-88-0"
CETYLPYRIDINIUM,EUGENOL,https://pubchem.ncbi.nlm.nih.gov/compound/3314,61-33-6,N/A
CEVIMELINE,EUPATORIUM PERFOLIATUM,https://pubchem.ncbi.nlm.nih.gov/substance/483933586,69-53-4,"33604-21-6, 37234-64-3, 47355-94-2, 50584-05-9, 800-79-3, 8056-87-9, 96707-69-6, 98520-55-9, 37234-64-3, 50584-05-9, 800-79-3, 33604-21-6, 96707-69-6, 98520-55-9, 47355-94-2"
CHARCOAL,EUPATORIUM TRIPLINERVE,https://pubchem.ncbi.nlm.nih.gov/substance/482041192,460-73-1,220035-33-6
CHELIDONIUM_MAJUS,EUPHAUSIA SUPERBA,https://pubchem.ncbi.nlm.nih.gov/substance/482029335,100-33-4,N/A
CHERRY,EUPHORBIA CERIFERA,https://pubchem.ncbi.nlm.nih.gov/substance/481179699,111-29-5,N/A
CHLORAL_HYDRATE,EUPHRASIA OFFICINALIS,https://pubchem.ncbi.nlm.nih.gov/substance/483930127,359-83-1,"3411-11-8, 6654-32-6, 6654-33-7, 7313-81-7, 10535-38-3, 16760-69-3, 16760-70-6, 21820-34-8, 10535-38-3, 7313-81-7, 6654-33-7, 16760-70-6, 16760-69-3, 6654-32-6, 3411-11-8"
CHLORAMBUCIL,EUSPONGIA OFFICINALIS,https://pubchem.ncbi.nlm.nih.gov/substance/482019882,67-43-6,"13407-13-1, 25737-54-6, 49758-21-6, 6889-50-5, 7575-40-8, 84932-15-0, 573987-64-1, 782415-12-7, 803683-39-8, 13407-13-1, 25737-54-6, 49758-21-6, 573987-64-1, 6889-50-5, 7575-40-8, 782415-12-7, 803683-39-8, 84932-15-0, 7575-40-8, 49758-21-6, 84932-15-0, 573987-64-1, 803683-39-8, 13407-13-1, 25737-54-6, 6889-50-5"
CHLORAMPHENICOL,EUTERPE OLERACEA,https://pubchem.ncbi.nlm.nih.gov/substance/482033286,54-95-5,N/A
CHLORCYCLIZINE,EVENING PRIMROSE OIL,https://pubchem.ncbi.nlm.nih.gov/compound/445639,76-74-4,N/A
CHLORDIAZEPOXIDE,EVEROLIMUS,https://pubchem.ncbi.nlm.nih.gov/compound/5284616,N/A,N/A
CHLORELLA,EVODIA,https://pubchem.ncbi.nlm.nih.gov/compound/179651,53910-25-1,"59979-24-7, 63677-95-2, 69196-00-5, 70865-77-9, 69196-00-5, 70865-77-9, 63677-95-2"
CHLORHEXIDINE,EVOLOCUMAB,https://pubchem.ncbi.nlm.nih.gov/substance/469676828,58-08-2,"71701-02-5, 95789-13-2, 95789-13-2, 71701-02-5"
CHLORINE,EXEMESTANE,https://pubchem.ncbi.nlm.nih.gov/compound/60198,77-23-6,N/A
CHLORMETHINE,EXENATIDE,https://pubchem.ncbi.nlm.nih.gov/compound/45588096,107-43-7,"11042-12-9, 24980-93-6, 45631-77-4, 590-30-7, 24980-93-6, 45631-77-4, 590-30-7, 11042-12-9"
CHLOROBUTANOL,EYE BATHS,https://pubmed.ncbi.nlm.nih.gov/18100982,73049-73-7,80702-37-0
CHLOROETHANE,EYE CREAM,https://pubchem.ncbi.nlm.nih.gov/compound/807,330600-85-6,229614-55-5
CHLOROFORM,EYE MAKE-UP REMOVERS,https://pubmed.ncbi.nlm.nih.gov/29030872,380917-97-5,N/A
CHLOROPHYLL,EZETIMIBE,https://pubchem.ncbi.nlm.nih.gov/compound/150311,7632-04-4,15768-95-3
CHLOROPHYLLIN_COPPER_COMPLEX,FACIAL CLEANSER,https://pubchem.ncbi.nlm.nih.gov/compound/338,76-19-7,"218599-63-4, 300408-51-9, 300408-51-9"
CHLOROPROCAINE,FACIAL CREAM/LOTION,https://pubmed.ncbi.nlm.nih.gov/3652687,66104-22-1,N/A
CHLOROQUINE,FACTOR IX,https://pubchem.ncbi.nlm.nih.gov/compound/4433882,N/A,N/A
CHLOROTHIAZIDE,FACTOR VII,https://pubchem.ncbi.nlm.nih.gov/compound/21677481,82834-16-0,99149-83-4
CHLOROTHYMOL,FACTOR VIII,https://pubchem.ncbi.nlm.nih.gov/compound/104815,52645-53-1,"57608-04-5, 60018-94-2, 63364-00-1, 75497-64-2, 93388-66-0, 60018-94-2, 75497-64-2, 63364-00-1, 93388-66-0"
CHLOROXINE,FACTOR VIII INHIBITOR BYPASSING FRACTION,https://pubchem.ncbi.nlm.nih.gov/substance/481101499,119-90-4,59777-10-5
CHLOROXYLENOL,FACTOR VON WILLEBRAND,https://pubchem.ncbi.nlm.nih.gov/substance/483927535,58-39-9,N/A
CHLORPHENAMINE,FACTOR X,https://pubchem.ncbi.nlm.nih.gov/compound/702,N/A,N/A
CHLORPHENESIN,FACTOR XIII,https://pubchem.ncbi.nlm.nih.gov/compound/126166,N/A,N/A
CHLORPROMAZINE,FALLOPIA JAPONICA,https://pubchem.ncbi.nlm.nih.gov/substance/482022289,N/A,N/A
CHLORPROPAMIDE,FALLOPIA MULTIFLORA,https://pubchem.ncbi.nlm.nih.gov/substance/482022295,N/A,N/A
CHLORTALIDONE,FAMCICLOVIR,https://pubchem.ncbi.nlm.nih.gov/compound/3324,N/A,N/A
CHLORZOXAZONE,FAMOTIDINE,https://pubchem.ncbi.nlm.nih.gov/compound/5702160,57-42-1,N/A
CHOLESTEROL,FAMPRIDINE,https://pubchem.ncbi.nlm.nih.gov/compound/1727,N/A,N/A
CHOLESTEROL_TESTS,FAT,https://pubchem.ncbi.nlm.nih.gov/compound/985,N/A,N/A
CHOLINE,FATTY ACID (UNSPECIFIED),https://pubchem.ncbi.nlm.nih.gov/substance/319395477,60-80-0,"123175-91-7, 5779-41-9, 123175-91-7"
CHOLINE_FENOFIBRATE,FEBUXOSTAT,https://pubchem.ncbi.nlm.nih.gov/compound/134018,94-78-0,N/A
CHOLINE_THEOPHYLLINATE,FEEDING BOTTLES,https://pubmed.ncbi.nlm.nih.gov/27730750,634-03-7,"16311-86-7, 711-71-7"
CHONDROCYTE,FELBAMATE,https://pubchem.ncbi.nlm.nih.gov/compound/3331,51-71-8,N/A
CHONDROITINSULFURIC_ACID,FELODIPINE,https://pubchem.ncbi.nlm.nih.gov/compound/3333,51-67-2,N/A
CHONDRUS_CRISPUS,FENAMISAL,https://pubchem.ncbi.nlm.nih.gov/compound/8609,82-88-2,N/A
