drugid,cas
2428,"58-61-7"
2485,"745-65-3"
2565,"74863-84-6"
2587,"83905-01-5"
2687,"91714-93-1; 91714-94-2"
2695,"52485-79-7; 53152-21-9"
2736,"123171-59-5; 88040-23-7"
2752,"83881-51-0; 83881-52-1"
2816,"88768-40-5; 90139-06-3"
2929,"3239-44-9; 3239-45-0"
2959,"20830-81-3; 23541-50-6"
2963,"57-63-6; 67392-87-4"
3046,"73121-56-9"
3066,"50-28-2"
3121,"72479-26-6; 73151-29-8"
3131,"98319-26-7"
3188,"60142-96-3"
3189,"122795-43-1; 131410-48-5"
3191,"120066-54-8"
3196,"124904-93-4; 129311-55-3"
3241,"107007-99-8; 109889-09-0"
3257,"36167-63-2; 69756-53-2"
3286,"76712-82-8"
3393,"92339-11-2"
3396,"107793-72-6"
3412,"70209-81-3; 70288-86-7; 71827-03-7"
3422,"74103-06-3; 74103-07-4"
3505,"14062-23-8"
3623,"90350-40-6"
3697,"121281-41-2"
3703,"54-11-5"
3704,"54-11-5"
3706,"51803-78-2"
3735,"79517-01-4; 83150-76-9"
3803,"33069-62-4"
3820,"130120-56-8; 130120-57-9"
4145,"518-28-5"
4161,"50-28-2; 51-98-9"
4196,"87269-97-4; 87333-19-5"
4313,"140678-14-4; 155319-91-8"
4524,"104716-22-5"
4529,"85622-93-1"
4565,"1397-89-3"
4576,"97240-79-4"
4582,"396715-57-4; 53016-31-2; 57-63-6"
4634,"120373-24-2"
4729,"51-21-8"
4903,"25905-77-5; 25953-17-7"
5254,"437-38-7; 990-73-8"
5359,"35543-24-9; 55837-25-7"
5929,"31677-93-7; 34911-55-2"
5958,"101827-46-7; 101828-21-1"
5999,"59865-13-3"
6009,"154427-83-5; 160369-78-8; 176669-18-4"
6018,"125-69-9; 125-71-3"
6047,"70052-12-9"
6050,"1115-70-4; 657-24-9"
6056,"363-24-6"
6071,"42924-53-8"
6140,"73573-87-2"
6158,"75530-68-6"
6161,"28721-07-5"
6165,"100299-08-9; 69372-19-6"
6292,"66852-54-8; 98651-66-2"
6297,"13494-90-1; 135886-70-3"
6318,"109581-73-9"
6322,"68373-14-8; 69388-84-7"
6587,"21829-25-4"
6600,"153559-49-0"
6685,"73334-07-3"
6807,"9004-61-9; 9067-32-7"
7017,"112811-59-3"
7103,"9004-61-9; 9067-32-7"
7908,"153507-46-1"
8781,"10016-20-3; 55648-20-9; 745-65-3"
8936,"148-72-1; 54-71-7; 92-13-7"
8956,"110429-35-1; 61869-08-7"
8957,"139096-04-1"
8999,"5104-49-4; 56767-76-1"
9053,"152751-57-0; 52757-95-6"
9057,"58-22-0"
9247,"302-79-4"
9257,"156137-99-4"
9308,"127455-27-0"
9424,"68786-66-3"
9544,"308081-97-2; 86227-47-6"
9577,"119006-77-8"
9740,"120895-52-5; 1397-89-3"
9742,"502-85-2; 591-81-1"
9819,"587-26-8"
9828,"590-46-5"
9830,"50-28-2"
9863,"76-19-7"
10081,"76-19-7"
10198,"24390-14-5; 564-25-0"
10269,"15307-86-5"
10298,"437-38-7; 990-73-8"
10300,"50-28-2"
10301,"57-63-6"
10385,"25614-03-3"
10412,"50-28-2; 51-98-9"
10515,"82410-32-0"
10518,"30123-17-2; 72797-41-2"
10536,"135326-11-3; 135326-22-6"
10708,"155270-99-8"
10772,"2551-62-4"
10777,"57-27-2; 6211-15-0; 64-31-3"
11020,"113662-23-0; 127000-20-8; 172504-22-2"
11129,"154-93-8"
11237,"58-22-0"
11238,"50-28-2"
11295,"56124-62-0"
11392,"59865-13-3"
11549,"745-65-3"
11640,"1185-57-5"
11687,"138071-82-6"
11822,"53714-56-0; 74381-53-6"
11837,"50-28-2"
11854,"10102-43-9"
11862,"72573-82-1; 92943-93-6"
11897,"4245-41-4; 50-28-2"
11974,"152-11-4; 52-53-9"
12015,"439-14-5"
12113,"5633-20-5"
12118,"466-99-9; 71-68-1"
12134,"50-07-7"
12150,"2068-78-2; 57-22-7"
12168,"51-98-9; 57-63-6; 8015-12-1"
12170,"57-63-6; 797-63-7"
12211,"515-98-0"
12265,"32222-06-3"
12343,"50-28-2"
12347,"86050-77-3"
12363,"55-63-0"
12433,"137-58-6"
12526,"193901-90-5; 201688-00-8"
12781,"298-46-4"
12785,"302-79-4"
12846,"437-38-7; 990-73-8"
12978,"151096-09-2; 186826-86-8"
13019,"86168-78-7"
13110,"83881-51-0; 90-82-4"
13162,"58-22-0"
13202,"21829-25-4"
13311,"13967-65-2"
13323,"187235-37-6"
13338,"128-13-2"
13409,"14611-51-9; 14611-52-0"
13444,"52-53-9"
13468,"57-27-2; 6211-15-0; 64-31-3"
13469,"9004-61-9"
13484,"51781-06-7; 51781-21-6"
13487,"172889-84-8"
13537,"21829-25-4"
13572,"141758-74-9"
13594,"105102-22-5; 83919-23-7"
13648,"54024-22-5; 57-63-6; 71138-35-7"
13654,"302-79-4"
13851,"50-28-2"
14391,"178429-62-4"
14410,"15307-86-5"
14424,"22071-15-4"
14426,"16051-77-7"
14440,"564-25-0"
14442,"53714-56-0; 74381-53-6"
14484,"113-45-1; 298-59-9"
14493,"201341-05-1; 202138-50-9"
14658,"38396-39-3"
14844,"18472-51-0"
14877,"2152-44-5"
14885,"797-63-7"
14954,"57-63-6; 797-63-7"
15193,"155798-07-5"
15198,"137-58-6"
15447,"1143-38-0"
15574,"50-78-2; 58-32-2"
15648,"12126-59-9"
16021,"172673-20-0; 265121-04-8"
16216,"76-41-5"
16915,"68538-85-2; 80433-71-2"
16957,"58581-89-8; 79307-93-0"
17107,"143338-12-9; 160707-68-6; 160707-69-7"
17168,"443-48-1; 69198-10-3"
17382,"131069-91-5"
17527,"50-28-2"
17853,"22204-53-1; 59122-46-2"
17914,"16051-77-7"
18168,"25122-41-2; 25122-46-7"
19261,"58-22-0"
19460,"50-78-2"
23015,"137-58-6"
23622,"113-45-1"
23623,"13647-35-3"
24486,"65277-42-1"
25009,"300-62-9; 51-64-9"
26311,"10405-02-4"
26312,"10118-90-8"
26552,"1327-53-3"
26832,"106266-06-2"
27454,"657-24-9"
28539,"67-73-2"
28815,"21829-25-4"
28992,"140898-91-5; 140898-97-1"
29051,"58-22-0"
29182,"10238-21-8; 657-24-9"
29992,"862111-32-8"
30456,"27203-92-5; 36282-47-0"
31115,"52485-79-7"
31134,"437-38-7"
32696,"85721-33-1; 86393-32-0"
33497,"52485-79-7; 53152-21-9"
34061,"1262984-82-6"
34063,"73590-58-6"
34139,"596-51-0; 740028-90-4"
35108,"85721-33-1"
35219,"355-42-0"
35399,"113507-06-5"
36230,"73232-52-7"
37011,"245765-41-7"
37952,"104206-65-7"
37956,"57-63-6; 797-63-7"
37957,"57-63-6; 797-63-7"
39889,"126544-47-6"
40115,"444811-40-9"
40474,"37517-28-5"
40649,"57-83-0"
40909,"381231-18-1; 945212-59-9"
41417,"596-51-0; 740028-90-4"
41500,"15307-86-5"
41905,"89-57-6"
42859,"91374-21-9"
43078,"136959-96-1; 84371-63-1; 84371-65-3"
43841,"59-67-6"
44017,"31677-93-7; 34911-55-2"
44237,"153559-49-0"
44258,"59277-89-3"
44279,"26787-78-0; 61336-70-7"
44282,"4419-39-0; 5534-09-8"
44285,"1812-30-2"
44286,"47931-85-1"
44294,"66108-95-0"
44295,"60166-93-0"
44300,"75330-75-5"
44317,"72558-82-8"
44370,"18323-44-9"
44376,"57-41-0"
44378,"50-28-2"
44385,"80214-83-1"
44388,"28860-95-9; 59-92-7"
44389,"51-48-9; 55-03-8"
44399,"55-63-0"
44403,"137-58-6; 6108-05-0"
44411,"6190-39-2"
44412,"34580-13-7; 34580-14-8"
44414,"4419-39-0; 5534-09-8"
44699,"437-38-7"
44757,"113-45-1; 298-59-9"
44785,"32986-56-4"
45617,"5949-44-0"
45697,"50-28-2"
46078,"33286-22-5; 42399-41-7"
46257,"104987-11-3"
46282,"37270-71-6; 57-63-6; 68-22-4"
46417,"50-28-2"
46623,"466-99-9; 71-68-1"
46861,"68302-57-8"
46886,"34089-?81-1"
46889,"10118-90-8; 13614-98-7"
46890,"10238-21-8"
46891,"51-42-3; 51-43-4"
46898,"68-89-3"
46921,"57-63-6; 797-63-7"
46923,"89-57-6"
46926,"37270-71-6; 57-63-6; 68-22-4"
46927,"24390-14-5; 564-25-0"
46930,"13392-18-2; 22254-24-6"
46999,"18323-44-9"
47077,"75695-93-1"
47206,"82626-48-0; 99294-93-6"
47266,"22916-47-8"
47300,"84625-61-6"
47398,"108147-54-2; 75172-81-5"
47400,"13422-51-0"
47417,"58-22-0"
47516,"109852-02-0; 57-63-6; 60282-87-3"
47759,"103628-46-2"
48140,"564-25-0"
48279,"111025-46-8; 657-24-9"
48339,"111406-87-2"
48477,"72956-09-3"
48517,"18559-94-9"
48557,"110429-35-1; 61869-08-7"
48629,"19794-93-5"
48667,"100986-85-4"
48700,"100299-08-9"
48899,"114-07-8"
48917,"103-90-2"
48938,"18559-94-9; 51022-70-9"
48942,"50-23-7; 85721-33-1"
48943,"51-48-9; 55-03-8"
48978,"19262-68-1; 40431-64-9"
48998,"59729-33-8"
49017,"26787-78-0"
49077,"1115-70-4; 657-24-9"
49122,"50-28-2"
49157,"5633-20-5"
49282,"113806-05-6; 140462-76-6"
49301,"869572-92-9"
49317,"27203-92-5"
49619,"10405-02-4"
49657,"357-70-0"
49659,"109889-09-0"
49719,"87-33-2"
49829,"1115-70-4; 657-24-9"
50040,"104987-11-3"
50198,"65277-42-1"
50402,"58-22-0"
50562,"566170-04-5"
50597,"22832-87-7; 22916-47-8"
50643,"76924-93-1"
50843,"81846-19-7; 830354-48-8"
50845,"26839-75-8"
51011,"18559-94-9; 438627-66-8"
51012,"36505-84-7"
51039,"59-67-6; 79902-63-9"
51082,"76-25-5"
51204,"106-60-5"
51227,"12111-24-9"
51228,"125883-02-5"
51259,"51-75-2; 55-86-7"
51284,"83905-01-5"
51349,"54573-75-0"
51370,"1197-18-8"
52139,"82419-36-1"
52209,"1192500-31-4; 72558-82-8"
52570,"638-94-8"
52623,"102767-28-2"
52636,"49562-28-9"
52668,"27203-92-5"
52707,"5970-45-6"
52712,"2098-66-0"
52766,"27203-92-5"
52806,"356-12-7"
52822,"67-73-2"
52879,"82626-48-0; 99294-93-6"
52987,"71-58-9"
53029,"1361317-83-0; 97682-44-5"
53069,"59-96-1; 63-92-3"
53257,"129722-12-9"
53427,"312753-06-3; 740028-90-4"
53498,"59277-89-3"
53557,"57-63-6; 797-63-7"
53562,"15307-86-5"
53584,"135729-61-2; 135729-62-3"
53774,"80474-14-2; 90566-53-3"
53837,"49562-28-9"
54118,"15307-86-5"
54222,"104987-11-3"
54305,"123441-03-2"
54311,"289480-64-4; 81846-19-7"
54363,"51384-51-1; 58-93-5"
54389,"91714-93-1; 91714-94-2"
54577,"59467-70-8"
54689,"24584-09-6"
54733,"53-03-02"
54740,"137-58-6; 94-24-6"
54904,"57-63-6; 7759-35-5"
54959,"28633-45-6"
55053,"59803-98-4"
55090,"679809-58-6"
55177,"111025-46-8; 657-24-9"
55193,"362665-56-3"
55195,"437-38-7; 990-73-8"
55342,"630-56-8"
55434,"797-63-7"
55439,"63675-72-9"
55486,"91714-93-1; 91714-94-2"
55698,"74103-06-3; 74103-07-4"
55707,"103628-46-2"
55740,"111974-69-7; 111974-72-2"
55898,"116094-23-6"
55981,"51333-22-3"
56102,"4291-63-8"
56276,"50-78-2"
56472,"437-38-7; 990-73-8"
56516,"936091-26-8"
56527,"221877-54-9"
56647,"82410-32-0"
56654,"19356-17-3"
56687,"465-65-6; 76-42-6"
56791,"175591-09-0; 175591-23-8"
56823,"122320-73-4; 657-24-9"
56956,"82626-48-0; 99294-93-6"
57021,"902143-01-5"
57022,"956103-76-7"
57097,"397864-44-7"
57430,"1230487-00-9"
