molecule,crp,intprd,cas,drugid
1-HEXADECANOL#ANTHEMIS_NOBILIS#BUTYROSPERMUM_PARKII#CICLOPIROX#GLYCEROL#HYALURONIC_ACID#SALICYLIC_ACID,MEDIMETRIKS_PHARM,LOPROX CREAM KIT,9004-61-9,"6807, 7103, 13469, 105492"
2-PROPANOL#BENZOYL_PEROXIDE,LAB_UNKNOWN,2-PROP/BENZ   L.U.,94-36-0,78987
2-PROPANOL#KETOROLAC#POVIDONE-IODINE,TERRAIN_PHARM,KETOROLAC     TEHR,74103-06-3,"3422, 55698"
ACACIA_CATECHU#CHONDROITINSULFURIC_ACID#GLUCOSAMINE#HYALURONIC_ACID#SCUTELLARIA,RECKITT_BENCKISER,MOVE FREE ADV PLUS,9004-61-9,"6807, 7103, 13469, 105492"
ACETIC_ACID#CALCIUM#FIBRINOGEN#GLYCINE#SODIUM#TRANEXAMIC_ACID,JOHNSON_&_JOHNSON,CROSSEAL,1197-18-8,51370
ACETYLCYSTEINE#ALLIUM_SATIVUM#ANGELICA_ARCHANGELICA#ASCORBIC_ACID#ASTRAGALUS#ECHINACEA_PURPUREA#ELEUTHEROCOCCUS_SENTICOSUS#EPIMEDIUM_GRANDIFLORUM#FORSYTHIA_SUSPENSA#GLUTAMINE#LONICERA#LYCIUM#LYSINE#MAGNESIUM#MANGANESE#MENTHA_PIPERITA#MORINDA_CITRIFOLIA#PANAX_GINSENG#POTASSIUM#QUERCETIN#RETINOL#RUBUS_FRUTICOSUS#SAMBUCUS_NIGRA#SCHIZONEPETA#SODIUM#VACCINIUM_MACROCARPON#VITAMIN_E#VITEX_AGNUS-CASTUS#ZINC#ZINGIBER_OFFICINALE,IOVATE,GERM MD,56-85-9,"69737, 69738"
ACETYLCYSTEINE#ALLIUM_SATIVUM#ANGELICA_ARCHANGELICA#ASCORBIC_ACID#ASTRAGALUS#ECHINACEA_PURPUREA#ELEUTHEROCOCCUS_SENTICOSUS#EPIMEDIUM_GRANDIFLORUM#FORSYTHIA_SUSPENSA#GLUTAMINE#LONICERA#LYCIUM#LYSINE#MAGNESIUM#MANGANESE#MENTHA_PIPERITA#MORINDA_CITRIFOLIA#PANAX_GINSENG#POTASSIUM#QUERCETIN#RETINOL#RUBUS_FRUTICOSUS#SAMBUCUS_NIGRA#SCHIZONEPETA#SODIUM#VACCINIUM_MACROCARPON#VITAMIN_E#VITEX_AGNUS-CASTUS#ZINC#ZINGIBER_OFFICINALE,IOVATE,GERM MD,616-91-1,95553
ACETYLCYSTEINE#ANGELICA_POLIMORPHA#ASCORBIC_ACID#ASTRAGALUS#ECHINACEA_PURPUREA#ELEUTHEROCOCCUS_SENTICOSUS#EPIMEDIUM_GRANDIFLORUM#PANAX_GINSENG#STEPHANIA_SINICA#ZINC#ZINGIBER_OFFICINALE,IOVATE,COLD MD,616-91-1,95553
ACETYLCYSTEINE#ASCORBIC_ACID#CALCIUM_LEVOFOLINATE#CARICA_PAPAYA#COBAMAMIDE#COLECALCIFEROL#FOLIC_ACID#INTRINSIC_FACTOR#LECITHIN#LEVOMEFOLIC_ACID#MAGNESIUM#NICOTINAMIDE#PANTETHINE#PHOSPHATIDYLETHANOLAMINE#THIAMINE,CENTURION_LABS,PURALOR CI,616-91-1,95553
ACETYLCYSTEINE#ASCORBIC_ACID#CALCIUM_LEVOFOLINATE#CARICA_PAPAYA#COBAMAMIDE#COLECALCIFEROL#FOLIC_ACID#INTRINSIC_FACTOR#LECITHIN#LEVOMEFOLIC_ACID#MAGNESIUM#NICOTINAMIDE#PANTETHINE#PHOSPHATIDYLETHANOLAMINE#THIAMINE,CENTURION_LABS,PURALOR CI,80433-71-2,16915
ACETYLCYSTEINE#LEVOMEFOLIC_ACID#MECOBALAMIN#SCHIZOCHYTRIUM,ESTEVE,METAFOLBIC PLUS RF,616-91-1,95553
ACETYLCYSTEINE#PETASITES_OFFICINALIS#PICRORRHIZA_KURROA#ROSMARINUS_OFFICINALIS#SALIX_ALBA#VINPOCETINE,IOVATE,ALLERGY MD,616-91-1,95553
ACETYLSALICYLIC_ACID#CAFFEINE#CHLORPHENAMINE#PHENYLEPHRINE,BAYER,CORICIDIN D,132-22-9,"66158, 69798, 83624, 91390, 91711"
ACETYLSALICYLIC_ACID#CAFFEINE#CHLORPHENAMINE#PHENYLEPHRINE,BAYER,CORICIDIN D,50-78-2,"15574, 19460, 56276, 64893"
ACETYLSALICYLIC_ACID#CAFFEINE#PARACETAMOL#SALICYLAMIDE,GENTEX_PHARMA,LEVACET,103-90-2,"48917, 64433, 68852"
ACETYLSALICYLIC_ACID#CAFFEINE#PARACETAMOL#SALICYLAMIDE,GENTEX_PHARMA,LEVACET,50-78-2,"15574, 19460, 56276, 64893"
ACETYLSALICYLIC_ACID#DIPYRIDAMOLE,BOEHRINGER_INGEL,ASASANTIN,50-78-2,"15574, 19460, 56276, 64893"
ACETYLSALICYLIC_ACID#DIPYRIDAMOLE,BOEHRINGER_INGEL,ASASANTIN,58-32-2,15574
ACETYLSALICYLIC_ACID#PHYTOSTEROLS_(UNSPECIFIED),BAYER,BAYER HEART ADVANT,50-78-2,"15574, 19460, 56276, 64893"
