molecule,crp,intprd,cas,drugid
1-HEXADECANOL#ANTHEMIS_NOBILIS#BUTYROSPERMUM_PARKII#CICLOPIROX#GLYCEROL#HYALURONIC_ACID#SALICYLIC_ACID,MEDIMETRIKS_PHARM,LOPROX CREAM KIT,9004-61-9,6807
1-HEXADECANOL#ANTHEMIS_NOBILIS#BUTYROSPERMUM_PARKII#CICLOPIROX#GLYCEROL#HYALURONIC_ACID#SALICYLIC_ACID,MEDIMETRIKS_PHARM,LOPROX CREAM KIT,9004-61-9,7103
1-HEXADECANOL#ANTHEMIS_NOBILIS#BUTYROSPERMUM_PARKII#CICLOPIROX#GLYCEROL#HYALURONIC_ACID#SALICYLIC_ACID,MEDIMETRIKS_PHARM,LOPROX CREAM KIT,9004-61-9,13469
1-HEXADECANOL#ANTHEMIS_NOBILIS#BUTYROSPERMUM_PARKII#CICLOPIROX#GLYCEROL#HYALURONIC_ACID#SALICYLIC_ACID,MEDIMETRIKS_PHARM,LOPROX CREAM KIT,9004-61-9,105492
2-PROPANOL#BENZOYL_PEROXIDE,LAB_UNKNOWN,2-PROP/BENZ   L.U.,94-36-0,78987
2-PROPANOL#KETOROLAC#POVIDONE-IODINE,TERRAIN_PHARM,KETOROLAC     TEHR,74103-06-3,3422
2-PROPANOL#KETOROLAC#POVIDONE-IODINE,TERRAIN_PHARM,KETOROLAC     TEHR,74103-06-3,55698
ACACIA_CATECHU#CHONDROITINSULFURIC_ACID#GLUCOSAMINE#HYALURONIC_ACID#SCUTELLARIA,RECKITT_BENCKISER,MOVE FREE ADV PLUS,9004-61-9,6807
ACACIA_CATECHU#CHONDROITINSULFURIC_ACID#GLUCOSAMINE#HYALURONIC_ACID#SCUTELLARIA,RECKITT_BENCKISER,MOVE FREE ADV PLUS,9004-61-9,7103
ACACIA_CATECHU#CHONDROITINSULFURIC_ACID#GLUCOSAMINE#HYALURONIC_ACID#SCUTELLARIA,RECKITT_BENCKISER,MOVE FREE ADV PLUS,9004-61-9,13469
ACACIA_CATECHU#CHONDROITINSULFURIC_ACID#GLUCOSAMINE#HYALURONIC_ACID#SCUTELLARIA,RECKITT_BENCKISER,MOVE FREE ADV PLUS,9004-61-9,105492
ACETIC_ACID#CALCIUM#FIBRINOGEN#GLYCINE#SODIUM#TRANEXAMIC_ACID,JOHNSON_&_JOHNSON,CROSSEAL,1197-18-8,51370
ACETYLCYSTEINE#ALLIUM_SATIVUM#ANGELICA_ARCHANGELICA#ASCORBIC_ACID#ASTRAGALUS#ECHINACEA_PURPUREA#ELEUTHEROCOCCUS_SENTICOSUS#EPIMEDIUM_GRANDIFLORUM#FORSYTHIA_SUSPENSA#GLUTAMINE#LONICERA#LYCIUM#LYSINE#MAGNESIUM#MANGANESE#MENTHA_PIPERITA#MORINDA_CITRIFOLIA#PANAX_GINSENG#POTASSIUM#QUERCETIN#RETINOL#RUBUS_FRUTICOSUS#SAMBUCUS_NIGRA#SCHIZONEPETA#SODIUM#VACCINIUM_MACROCARPON#VITAMIN_E#VITEX_AGNUS-CASTUS#ZINC#ZINGIBER_OFFICINALE,IOVATE,GERM MD,56-85-9,69737
ACETYLCYSTEINE#ALLIUM_SATIVUM#ANGELICA_ARCHANGELICA#ASCORBIC_ACID#ASTRAGALUS#ECHINACEA_PURPUREA#ELEUTHEROCOCCUS_SENTICOSUS#EPIMEDIUM_GRANDIFLORUM#FORSYTHIA_SUSPENSA#GLUTAMINE#LONICERA#LYCIUM#LYSINE#MAGNESIUM#MANGANESE#MENTHA_PIPERITA#MORINDA_CITRIFOLIA#PANAX_GINSENG#POTASSIUM#QUERCETIN#RETINOL#RUBUS_FRUTICOSUS#SAMBUCUS_NIGRA#SCHIZONEPETA#SODIUM#VACCINIUM_MACROCARPON#VITAMIN_E#VITEX_AGNUS-CASTUS#ZINC#ZINGIBER_OFFICINALE,IOVATE,GERM MD,56-85-9,69738
ACETYLCYSTEINE#ALLIUM_SATIVUM#ANGELICA_ARCHANGELICA#ASCORBIC_ACID#ASTRAGALUS#ECHINACEA_PURPUREA#ELEUTHEROCOCCUS_SENTICOSUS#EPIMEDIUM_GRANDIFLORUM#FORSYTHIA_SUSPENSA#GLUTAMINE#LONICERA#LYCIUM#LYSINE#MAGNESIUM#MANGANESE#MENTHA_PIPERITA#MORINDA_CITRIFOLIA#PANAX_GINSENG#POTASSIUM#QUERCETIN#RETINOL#RUBUS_FRUTICOSUS#SAMBUCUS_NIGRA#SCHIZONEPETA#SODIUM#VACCINIUM_MACROCARPON#VITAMIN_E#VITEX_AGNUS-CASTUS#ZINC#ZINGIBER_OFFICINALE,IOVATE,GERM MD,616-91-1,95553
ACETYLCYSTEINE#ANGELICA_POLIMORPHA#ASCORBIC_ACID#ASTRAGALUS#ECHINACEA_PURPUREA#ELEUTHEROCOCCUS_SENTICOSUS#EPIMEDIUM_GRANDIFLORUM#PANAX_GINSENG#STEPHANIA_SINICA#ZINC#ZINGIBER_OFFICINALE,IOVATE,COLD MD,616-91-1,95553
ACETYLCYSTEINE#ASCORBIC_ACID#CALCIUM_LEVOFOLINATE#CARICA_PAPAYA#COBAMAMIDE#COLECALCIFEROL#FOLIC_ACID#INTRINSIC_FACTOR#LECITHIN#LEVOMEFOLIC_ACID#MAGNESIUM#NICOTINAMIDE#PANTETHINE#PHOSPHATIDYLETHANOLAMINE#THIAMINE,CENTURION_LABS,PURALOR CI,616-91-1,95553
