drugid,cas
2375,"105816-04-4"
2417,"55079-83-9"
2428,"58-61-7"
2472,"121268-17-5; 129318-43-0; 66376-36-1"
2479,"122852-42-0; 122852-69-1"
2485,"745-65-3"
2495,"20537-88-6"
2500,"111470-99-6; 88150-42-9"
2503,"1397-89-3"
2506,"60719-84-8"
2509,"58579-51-4; 68475-42-3"
2546,"152923-56-3"
2565,"74863-84-6"
2577,"95233-18-4"
2587,"83905-01-5"
2595,"143201-11-0; 145599-86-6"
2620,"86541-74-4; 86541-75-5"
2622,"129497-78-5; 2683-84-3"
2626,"63659-18-7; 63659-19-8"
2642,"114084-78-5; 138926-19-9"
2687,"91714-93-1; 91714-94-2"
2695,"52485-79-7; 53152-21-9"
2705,"81409-90-7; 85329-89-1"
2714,"108212-75-5; 635715-01-4"
2736,"123171-59-5; 88040-23-7"
2740,"80210-62-4; 87239-81-4"
2742,"97519-39-6"
2752,"83881-51-0; 83881-52-1"
2760,"106308-44-5"
2764,"120685-11-2"
2765,"118072-93-8; 165800-07-7; 165800-08-8"
2773,"137862-53-4"
2784,"112809-51-5"
2807,"134523-00-5; 344423-98-9"
2816,"88768-40-5; 90139-06-3"
2822,"59729-32-7; 59729-33-8"
2827,"151319-34-5"
2829,"81103-11-9"
2836,"113665-84-2; 120202-66-6"
2843,"63-89-8"
2860,"122883-93-6; 146939-27-7; 185021-64-1; 199191-69-0"
2867,"147059-72-1; 147059-75-4"
2871,"100286-90-6; 136572-09-3; 97682-44-5"
2876,"97322-87-7"
2911,"103060-53-3"
2929,"3239-44-9; 3239-45-0"
2935,"69655-05-6"
2943,"62013-04-1"
2944,"40391-99-9; 57248-88-1"
2953,"114977-28-5"
2954,"115256-11-6"
2955,"115956-12-2; 115956-13-3"
2958,"120279-96-1; 130693-82-2"
2959,"20830-81-3; 23541-50-6"
2963,"57-63-6; 67392-87-4"
2992,"120011-70-3; 120014-06-4"
2997,"117976-89-3; 117976-90-6"
3034,"87233-61-2; 87233-62-3"
3046,"73121-56-9"
3066,"50-28-2"
3071,"2809-21-4; 7414-83-7"
3072,"117091-64-2; 33419-42-0"
3081,"107868-30-4"
3098,"104227-87-4"
3117,"25451-15-4"
3119,"125375-99-7; 67227-56-9; 67227-57-0"
3121,"72479-26-6; 73151-29-8"
3131,"98319-26-7"
3150,"107220-27-9; 107220-28-0; 107233-08-9; 138300-72-8; 153504-70-2"
3159,"80474-14-2; 90566-53-3"
3160,"93957-54-1; 93957-55-2"
3164,"78964-85-9"
3166,"88889-14-9; 95399-71-6; 98048-97-6"
3167,"92134-98-0; 93390-81-9"
3188,"60142-96-3"
3189,"122795-43-1; 131410-48-5"
3191,"120066-54-8"
3195,"82410-32-0"
3196,"124904-93-4; 129311-55-3"
3199,"122111-03-9; 95058-81-4"
3207,"29094-61-9"
3235,"121679-13-8; 143388-64-1"
3241,"107007-99-8; 109889-09-0"
3257,"36167-63-2; 69756-53-2"
3285,"1191386-50-1; 121822-23-9; 128270-60-0"
3286,"76712-82-8"
3302,"9004-61-9"
3307,"122647-31-8; 122647-32-9"
3310,"130308-48-4; 138614-30-9"
3311,"90357-06-5"
3313,"129453-61-8"
3316,"107753-78-6; 107753-86-6; 143052-93-1"
3317,"111974-69-7; 111974-72-2"
3321,"120511-73-1"
3359,"188627-80-7"
3393,"92339-11-2"
3396,"107793-72-6"
3409,"75695-93-1"
3411,"84625-61-6"
3412,"70209-81-3; 70288-86-7; 71827-03-7"
3422,"74103-06-3; 74103-07-4"
3423,"74103-06-3"
3431,"30652-11-0"
3467,"144494-65-5; 150915-40-5"
3474,"134678-17-4; 136891-12-8"
3480,"130209-82-4"
3488,"75706-12-6"
3490,"4291-63-8"
3492,"100986-85-4"
3497,"661-19-8"
3505,"14062-23-8"
3510,"114394-67-1; 98079-51-7; 98079-52-8"
3516,"132316-36-0; 79794-75-5"
3517,"114798-26-4; 124750-92-1; 124750-99-8; 58-93-5"
3536,"137281-23-3; 150399-23-8"
3574,"89-25-8"
3610,"71125-38-7"
3616,"119478-56-7; 96036-03-2"
3623,"90350-40-6"
3628,"84371-65-3"
3629,"72432-03-2"
3634,"85650-52-8"
3645,"68693-11-8"
3647,"103775-10-6; 103775-14-0; 82586-52-5"
3656,"29560-58-5; 31883-05-3"
3657,"57-27-2; 6211-15-0; 64-31-3"
3665,"12650-69-0"
3669,"116680-01-4; 128794-94-5"
3686,"118457-14-0"
3689,"69049-73-6; 69049-74-7"
3690,"82752-99-6; 83366-66-9"
3697,"121281-41-2"
3700,"129618-40-2"
3703,"54-11-5"
3704,"54-11-5"
3705,"54-11-5"
3706,"51803-78-2"
3735,"79517-01-4; 83150-76-9"
3738,"132539-06-1"
3741,"15722-48-2; 6054-98-4"
3750,"103639-04-9; 99614-01-4; 99614-02-5"
3775,"65576-45-6; 85650-56-2"
3792,"61825-94-3"
3793,"53-39-4"
3803,"33069-62-4"
3820,"130120-56-8; 130120-57-9"
4119,"171596-29-5"
4126,"111025-46-8; 112529-15-4"
4145,"518-28-5"
4151,"104632-25-9; 104632-26-0; 191217-81-9"
4155,"81093-37-0; 81131-70-6"
4156,"19216-56-9; 19237-84-4"
4157,"12126-59-9; 135843-32-2; 474-86-2; 53-16-7; 71-58-9"
4161,"50-28-2; 51-98-9"
4180,"36735-22-5"
4181,"82586-55-8; 82768-85-2; 85441-61-8"
4196,"87269-97-4; 87333-19-5"
4198,"128345-62-0; 66357-35-5"
4199,"95635-55-5; 95635-56-6"
4200,"53123-88-9"
4208,"132539-07-2; 132875-61-7; 132875-68-4"
4212,"135062-02-1"
4229,"72559-06-9"
4234,"105462-24-6; 115436-72-1; 122458-82-6"
4236,"106266-06-2"
4259,"127779-20-8; 149845-06-7"
4261,"116644-53-2; 116666-63-8"
4271,"84057-95-4; 98717-15-8"
4275,"112362-50-2; 120138-50-3; 126602-89-9"
4313,"140678-14-4; 155319-91-8"
4379,"123441-03-2; 129101-54-8"
4414,"133040-01-4; 144143-96-4"
