molecule,crp,intprd,cas,drugid
ABACAVIR,GLAXOSMITHKLINE,ZIAGEN,136470-78-5,"6242, 48181, 69973"
ABACAVIR,GLAXOSMITHKLINE,ZIAGEN,188062-50-2,"6242, 26574"
ABACAVIR#DOLUTEGRAVIR#LAMIVUDINE,GLAXOSMITHKLINE,TRIUMEQ,1051375-16-6,"59062, 69973, 91586, 101639"
ABACAVIR#DOLUTEGRAVIR#LAMIVUDINE,GLAXOSMITHKLINE,TRIUMEQ,134678-17-4,"3474, 16696, 26574, 48181, 65069, 69973, 73625, 90562, 96077, 101639, 109933, 113752"
ABACAVIR#DOLUTEGRAVIR#LAMIVUDINE,GLAXOSMITHKLINE,TRIUMEQ,136470-78-5,"6242, 48181, 69973"
ABACAVIR#DOLUTEGRAVIR#LAMIVUDINE,GLAXOSMITHKLINE,TRIUMEQ,188062-50-2,"6242, 26574"
ABACAVIR#LAMIVUDINE,GLAXOSMITHKLINE,EPZICOM,134678-17-4,"3474, 16696, 26574, 48181, 65069, 69973, 73625, 90562, 96077, 101639, 109933, 113752"
ABACAVIR#LAMIVUDINE,GLAXOSMITHKLINE,EPZICOM,136470-78-5,"6242, 48181, 69973"
ABACAVIR#LAMIVUDINE,GLAXOSMITHKLINE,EPZICOM,188062-50-2,"6242, 26574"
ABACAVIR#LAMIVUDINE#ZIDOVUDINE,GLAXOSMITHKLINE,TRIZIVIR,134678-17-4,"3474, 16696, 26574, 48181, 65069, 69973, 73625, 90562, 96077, 101639, 109933, 113752"
ABACAVIR#LAMIVUDINE#ZIDOVUDINE,GLAXOSMITHKLINE,TRIZIVIR,136470-78-5,"6242, 48181, 69973"
ABACAVIR#LAMIVUDINE#ZIDOVUDINE,GLAXOSMITHKLINE,TRIZIVIR,188062-50-2,"6242, 26574"
ABACAVIR#LAMIVUDINE#ZIDOVUDINE,GLAXOSMITHKLINE,TRIZIVIR,30516-87-1,"16696, 26574, 44316"
