molecule,crp,intprd,cas,drugid
ABACAVIR,GLAXOSMITHKLINE,ZIAGEN,136470-78-5,6242
ABACAVIR,GLAXOSMITHKLINE,ZIAGEN,136470-78-5,48181
ABACAVIR,GLAXOSMITHKLINE,ZIAGEN,136470-78-5,69973
ABACAVIR,GLAXOSMITHKLINE,ZIAGEN,188062-50-2,6242
ABACAVIR,GLAXOSMITHKLINE,ZIAGEN,188062-50-2,26574
ABACAVIR#DOLUTEGRAVIR#LAMIVUDINE,GLAXOSMITHKLINE,TRIUMEQ,1051375-16-6,59062
ABACAVIR#DOLUTEGRAVIR#LAMIVUDINE,GLAXOSMITHKLINE,TRIUMEQ,1051375-16-6,69973
ABACAVIR#DOLUTEGRAVIR#LAMIVUDINE,GLAXOSMITHKLINE,TRIUMEQ,1051375-16-6,91586
ABACAVIR#DOLUTEGRAVIR#LAMIVUDINE,GLAXOSMITHKLINE,TRIUMEQ,1051375-16-6,101639
ABACAVIR#DOLUTEGRAVIR#LAMIVUDINE,GLAXOSMITHKLINE,TRIUMEQ,134678-17-4,3474
ABACAVIR#DOLUTEGRAVIR#LAMIVUDINE,GLAXOSMITHKLINE,TRIUMEQ,134678-17-4,16696
ABACAVIR#DOLUTEGRAVIR#LAMIVUDINE,GLAXOSMITHKLINE,TRIUMEQ,134678-17-4,26574
ABACAVIR#DOLUTEGRAVIR#LAMIVUDINE,GLAXOSMITHKLINE,TRIUMEQ,134678-17-4,48181
ABACAVIR#DOLUTEGRAVIR#LAMIVUDINE,GLAXOSMITHKLINE,TRIUMEQ,134678-17-4,65069
ABACAVIR#DOLUTEGRAVIR#LAMIVUDINE,GLAXOSMITHKLINE,TRIUMEQ,134678-17-4,69973
ABACAVIR#DOLUTEGRAVIR#LAMIVUDINE,GLAXOSMITHKLINE,TRIUMEQ,134678-17-4,73625
ABACAVIR#DOLUTEGRAVIR#LAMIVUDINE,GLAXOSMITHKLINE,TRIUMEQ,134678-17-4,90562
ABACAVIR#DOLUTEGRAVIR#LAMIVUDINE,GLAXOSMITHKLINE,TRIUMEQ,134678-17-4,96077
ABACAVIR#DOLUTEGRAVIR#LAMIVUDINE,GLAXOSMITHKLINE,TRIUMEQ,134678-17-4,101639
ABACAVIR#DOLUTEGRAVIR#LAMIVUDINE,GLAXOSMITHKLINE,TRIUMEQ,134678-17-4,109933
ABACAVIR#DOLUTEGRAVIR#LAMIVUDINE,GLAXOSMITHKLINE,TRIUMEQ,134678-17-4,113752
ABACAVIR#DOLUTEGRAVIR#LAMIVUDINE,GLAXOSMITHKLINE,TRIUMEQ,136470-78-5,6242
ABACAVIR#DOLUTEGRAVIR#LAMIVUDINE,GLAXOSMITHKLINE,TRIUMEQ,136470-78-5,48181
ABACAVIR#DOLUTEGRAVIR#LAMIVUDINE,GLAXOSMITHKLINE,TRIUMEQ,136470-78-5,69973
ABACAVIR#DOLUTEGRAVIR#LAMIVUDINE,GLAXOSMITHKLINE,TRIUMEQ,188062-50-2,6242
ABACAVIR#DOLUTEGRAVIR#LAMIVUDINE,GLAXOSMITHKLINE,TRIUMEQ,188062-50-2,26574
