molecule,crp,intprd,cas,matched_drugid,match_type_ncas,different_compounds
ABACAVIR,GLAXOSMITHKLINE,ZIAGEN,136470-78-5,"6242, 48181, 69973",1,0
ABACAVIR,GLAXOSMITHKLINE,ZIAGEN,188062-50-2,"6242, 26574",1,0
ABACAVIR,GLAXOSMITHKLINE,ZIAGEN,"136470-78-5, 188062-50-2",6242,2,0
ABACAVIR#DOLUTEGRAVIR#LAMIVUDINE,GLAXOSMITHKLINE,TRIUMEQ,1051375-16-6,"59062, 69973, 91586, 101639",1,0
ABACAVIR#DOLUTEGRAVIR#LAMIVUDINE,GLAXOSMITHKLINE,TRIUMEQ,134678-17-4,"3474, 16696, 26574, 48181, 65069, 69973, 73625, 90562, 96077, 101639, 109933, 113752",1,0
ABACAVIR#DOLUTEGRAVIR#LAMIVUDINE,GLAXOSMITHKLINE,TRIUMEQ,136470-78-5,"6242, 48181, 69973",1,0
ABACAVIR#DOLUTEGRAVIR#LAMIVUDINE,GLAXOSMITHKLINE,TRIUMEQ,188062-50-2,"6242, 26574",1,0
ABACAVIR#DOLUTEGRAVIR#LAMIVUDINE,GLAXOSMITHKLINE,TRIUMEQ,"136470-78-5, 188062-50-2",6242,2,0
ABACAVIR#DOLUTEGRAVIR#LAMIVUDINE,GLAXOSMITHKLINE,TRIUMEQ,"134678-17-4, 188062-50-2",26574,2,1
ABACAVIR#DOLUTEGRAVIR#LAMIVUDINE,GLAXOSMITHKLINE,TRIUMEQ,"134678-17-4, 136470-78-5",48181,2,1
ABACAVIR#DOLUTEGRAVIR#LAMIVUDINE,GLAXOSMITHKLINE,TRIUMEQ,"1051375-16-6, 134678-17-4, 136470-78-5",69973,3,1
ABACAVIR#DOLUTEGRAVIR#LAMIVUDINE,GLAXOSMITHKLINE,TRIUMEQ,"1051375-16-6, 134678-17-4",101639,2,1
ABACAVIR#LAMIVUDINE,GLAXOSMITHKLINE,EPZICOM,134678-17-4,"3474, 16696, 26574, 48181, 65069, 69973, 73625, 90562, 96077, 101639, 109933, 113752",1,0
ABACAVIR#LAMIVUDINE,GLAXOSMITHKLINE,EPZICOM,136470-78-5,"6242, 48181, 69973",1,0
ABACAVIR#LAMIVUDINE,GLAXOSMITHKLINE,EPZICOM,188062-50-2,"6242, 26574",1,0
ABACAVIR#LAMIVUDINE,GLAXOSMITHKLINE,EPZICOM,"136470-78-5, 188062-50-2",6242,2,0
ABACAVIR#LAMIVUDINE,GLAXOSMITHKLINE,EPZICOM,"134678-17-4, 188062-50-2",26574,2,1
ABACAVIR#LAMIVUDINE,GLAXOSMITHKLINE,EPZICOM,"134678-17-4, 136470-78-5",48181,2,1
ABACAVIR#LAMIVUDINE,GLAXOSMITHKLINE,EPZICOM,"134678-17-4, 136470-78-5",69973,2,1
ABACAVIR#LAMIVUDINE#ZIDOVUDINE,GLAXOSMITHKLINE,TRIZIVIR,134678-17-4,"3474, 16696, 26574, 48181, 65069, 69973, 73625, 90562, 96077, 101639, 109933, 113752",1,0
ABACAVIR#LAMIVUDINE#ZIDOVUDINE,GLAXOSMITHKLINE,TRIZIVIR,136470-78-5,"6242, 48181, 69973",1,0
ABACAVIR#LAMIVUDINE#ZIDOVUDINE,GLAXOSMITHKLINE,TRIZIVIR,188062-50-2,"6242, 26574",1,0
ABACAVIR#LAMIVUDINE#ZIDOVUDINE,GLAXOSMITHKLINE,TRIZIVIR,30516-87-1,"16696, 26574, 44316",1,0
ABACAVIR#LAMIVUDINE#ZIDOVUDINE,GLAXOSMITHKLINE,TRIZIVIR,"136470-78-5, 188062-50-2",6242,2,0
ABACAVIR#LAMIVUDINE#ZIDOVUDINE,GLAXOSMITHKLINE,TRIZIVIR,"134678-17-4, 30516-87-1",16696,2,1
ABACAVIR#LAMIVUDINE#ZIDOVUDINE,GLAXOSMITHKLINE,TRIZIVIR,"134678-17-4, 188062-50-2, 30516-87-1",26574,3,1
ABACAVIR#LAMIVUDINE#ZIDOVUDINE,GLAXOSMITHKLINE,TRIZIVIR,"134678-17-4, 136470-78-5",48181,2,1
ABACAVIR#LAMIVUDINE#ZIDOVUDINE,GLAXOSMITHKLINE,TRIZIVIR,"134678-17-4, 136470-78-5",69973,2,1
ABARELIX,GLAXOSMITHKLINE,PLENAXIS,183552-38-7,14912,1,0
ABEMACICLIB,LILLY,VERZENIO,1231929-97-7,72538,1,0
ABIRATERONE_ACETATE,JOHNSON_&_JOHNSON,ZYTIGA,154229-18-2,"10309, 77813",1,0
ACALABRUTINIB,ASTRAZENECA,CALQUENCE,1420477-60-6,89714,1,0
ACAMPROSATE,ALLERGAN,CAMPRAL,77337-76-9,10402,1,0
ACARBOSE,BAYER,GLUCOBAY,56180-94-0,6051,1,0
ACEMANNAN,CARRINGTON_LAB,CARRASYN HYDROGEL,110042-95-0,8959,1,0
ACETYLCYSTEINE,CUMBERLAND_PHARMAC,ACETADOTE,616-91-1,"72900, 95553",1,0
ACETYLSALICYLIC_ACID#OMEPRAZOLE,GENUS_LIFESCIENCES,YOSPRALA,50-78-2,"15574, 19460, 46197, 56276, 63942, 64893",1,0
ACETYLSALICYLIC_ACID#OMEPRAZOLE,GENUS_LIFESCIENCES,YOSPRALA,73590-58-6,"34063, 44305, 45877, 63942",1,0
ACETYLSALICYLIC_ACID#OMEPRAZOLE,GENUS_LIFESCIENCES,YOSPRALA,"50-78-2, 73590-58-6",63942,2,1
ACETYLSALICYLIC_ACID#PRAVASTATIN,BRISTOL-MYERS_SQB.,PRAVIGARD PAC,50-78-2,"15574, 19460, 46197, 56276, 63942, 64893",1,0
ACETYLSALICYLIC_ACID#PRAVASTATIN,BRISTOL-MYERS_SQB.,PRAVIGARD PAC,81093-37-0,"4155, 46197",1,0
ACETYLSALICYLIC_ACID#PRAVASTATIN,BRISTOL-MYERS_SQB.,PRAVIGARD PAC,"50-78-2, 81093-37-0",46197,2,1
ACICLOVIR#HYDROCORTISONE,BAUSCH_HEALTH,XERESE,50-23-7,"17335, 48942",1,0
ACICLOVIR#HYDROCORTISONE,BAUSCH_HEALTH,XERESE,59277-89-3,"17335, 44258, 53498, 87715, 87725",1,0
ACICLOVIR#HYDROCORTISONE,BAUSCH_HEALTH,XERESE,"50-23-7, 59277-89-3",17335,2,1
ACITRETIN,GLAXOSMITHKLINE,SORIATANE,55079-83-9,2417,1,0
